attendance,completion,projects,hours,late_arrivals,score
74.55,60.04,9,12.77,10,66.24
82.81,87.45,3,5.92,13,47.12
77.54,45.83,2,5.26,14,33.25
99.53,66.52,4,11.37,0,70.8
64.08,71.2,6,11.56,0,66.55
68.36,81.64,1,8.89,0,57.09
66.45,45.45,3,12.69,4,51.52
86.12,53.67,6,10.02,11,50.86
70.13,64.62,9,9.73,13,55.45
78.65,77.4,7,11.66,5,74.8
69.78,93.22,3,5.01,5,55.17
66.36,77.13,8,6.57,9,60.99
64.42,48.01,8,7.3,14,39.96
86.25,98.83,2,8.57,2,67.39
65.53,92.31,9,5.99,10,64.52
67.86,70.16,5,11.88,0,71.05
74.75,95.34,4,10.72,7,69.02
92.84,72.48,4,11.17,1,69.02
63.88,95.4,3,5.73,11,53.83
93.52,89.79,1,9.01,9,59.21
63.84,98.1,5,5.96,9,57.11
99.06,95.19,7,7.19,10,71.16
78.75,42.16,5,12.36,12,48.74
99.07,50.49,4,11.18,0,67.54
84.19,63.35,3,11.18,7,54.59
89.57,97.13,4,11.02,12,64.68
61.57,58.0,2,8.24,6,44.75
71.31,49.63,2,5.7,13,34.74
64.81,93.18,3,12.45,7,66.14
71.85,66.78,8,10.56,10,66.02
64.75,94.47,3,11.23,9,53.33
72.72,49.61,8,11.33,0,68.21
76.57,79.67,1,11.59,11,52.92
62.57,66.42,2,8.06,11,46.27
87.7,44.59,9,12.48,9,65.81
82.66,81.79,1,8.76,4,59.61
70.62,54.84,6,6.73,12,38.99
80.93,42.38,3,9.12,8,44.05
63.76,43.6,9,10.15,5,57.7
83.04,43.66,1,7.56,2,48.43
97.17,94.46,5,5.85,12,59.77
72.74,84.39,1,8.65,11,46.58
86.7,93.88,4,8.9,11,59.05
65.27,80.35,9,11.17,11,66.54
88.65,71.74,2,5.58,5,54.74
71.58,58.27,7,10.36,4,62.45
67.33,99.88,5,6.18,1,73.9
83.46,61.73,7,10.45,14,52.8
60.8,68.24,7,7.74,12,49.07
93.16,62.69,5,11.76,12,62.94
60.19,98.77,8,8.65,0,81.71
87.11,50.48,3,6.87,2,54.34
70.8,59.68,9,11.1,5,72.26
89.41,80.82,1,12.83,4,71.92
98.49,43.79,9,10.07,12,57.84
69.95,76.43,7,6.08,2,62.4
83.05,68.66,3,6.63,7,53.04
83.68,57.04,7,8.04,3,65.6
82.89,54.3,6,8.97,5,61.49
68.92,70.87,4,5.16,10,46.35
98.11,62.08,8,8.85,6,69.39
77.89,67.39,9,8.8,4,68.52
93.86,60.25,4,8.49,9,57.76
87.98,98.23,9,7.47,8,77.49
71.9,48.01,9,12.66,0,71.43
92.55,45.81,5,10.33,10,52.12
75.86,60.6,5,11.3,10,59.96
95.24,75.46,2,9.12,11,53.61
83.25,79.55,1,7.93,0,62.53
95.27,63.84,8,7.97,2,71.22
87.7,99.96,7,7.19,6,69.83
89.01,61.11,3,9.38,13,48.15
80.05,83.28,2,11.83,12,53.44
98.24,78.25,1,5.31,12,49.07
85.76,88.78,7,11.01,1,77.76
76.95,98.57,2,11.27,14,58.34
84.26,93.39,7,8.16,5,76.89
60.77,85.87,8,10.95,9,62.85
72.06,81.89,2,8.11,5,59.48
86.41,60.13,6,7.52,2,63.5
71.6,48.86,3,6.88,3,41.84
84.72,43.76,1,11.43,11,46.95
77.15,54.51,3,5.23,3,55.28
65.42,65.94,7,6.91,13,46.24
71.93,71.32,7,7.41,3,63.13
82.8,86.39,4,9.86,8,67.85
83.63,97.52,6,8.41,14,61.13
82.97,47.04,5,10.3,5,52.99
86.13,46.42,8,6.14,13,48.51
86.08,75.38,4,7.75,11,55.22
77.26,84.72,3,9.23,9,57.43
95.86,90.89,7,9.98,5,81.93
74.7,96.15,2,7.16,1,64.93
77.43,99.01,6,7.09,13,60.94
95.68,63.99,2,5.37,8,49.12
92.25,62.82,4,11.58,10,61.45
88.16,48.87,2,5.22,12,36.46
64.01,81.1,1,7.89,7,48.26
96.78,79.41,8,6.44,7,67.25
88.57,91.72,4,9.01,1,71.22
99.95,45.84,7,12.85,9,63.24
65.98,69.87,5,8.37,13,43.35
94.73,74.86,5,9.69,0,76.25
66.5,54.49,4,9.73,9,49.42
84.62,50.14,6,5.46,4,55.07
64.95,91.57,5,10.77,6,67.01
93.92,43.51,5,11.21,0,65.05
92.29,68.24,1,10.87,11,52.92
82.76,46.95,1,6.17,3,44.6
76.29,67.42,6,8.63,3,67.83
62.77,98.8,1,8.18,4,59.06
87.9,65.42,7,8.09,10,58.22
78.14,91.43,4,5.55,1,61.29
88.88,47.04,9,11.32,12,60.84
94.66,56.28,7,5.04,10,54.82
99.02,64.23,3,6.31,0,60.33
94.23,63.99,2,10.57,4,58.52
60.47,80.28,8,6.82,6,64.36
74.4,60.68,8,11.78,8,64.14
89.2,82.83,7,9.81,2,78.52
66.87,78.35,8,11.03,12,61.01
80.84,63.95,6,6.81,1,65.62
62.17,65.91,9,11.01,2,72.1
68.0,76.87,9,11.69,1,79.84
60.74,44.2,2,9.34,0,48.03
91.75,89.34,5,5.22,1,71.29
68.96,79.21,7,7.64,6,64.6
73.81,83.58,5,9.73,4,63.93
97.12,72.22,3,12.5,14,61.67
88.18,46.63,8,6.74,4,61.51
61.27,64.3,9,5.35,11,55.05
66.59,64.32,6,9.77,5,58.3
84.86,59.26,8,9.33,9,62.4
83.09,41.8,7,8.25,3,59.95
69.52,84.24,4,12.63,6,69.09
97.37,46.59,4,5.67,10,40.18
84.56,76.38,8,12.61,0,83.74
81.43,82.19,3,5.28,2,60.54
83.6,78.09,9,9.31,14,60.61
89.2,97.55,2,12.57,13,64.95
72.48,46.2,4,8.69,14,36.82
75.93,92.03,3,5.88,14,46.55
68.39,41.75,2,12.75,0,53.56
67.45,72.1,8,8.61,7,64.4
97.77,64.25,9,11.52,7,71.24
89.58,71.45,8,10.45,13,60.49
79.62,61.91,6,8.25,1,72.26
69.1,51.43,8,12.86,4,66.2
70.17,41.15,8,10.26,9,49.34
62.32,71.09,2,11.06,8,51.66
77.38,90.57,6,5.17,11,56.32
72.47,62.39,7,9.87,0,68.29
87.85,53.37,6,12.56,3,64.04
75.11,44.83,9,6.94,10,53.46
67.18,45.12,9,7.0,14,44.3
60.99,53.28,2,11.8,4,48.03
62.69,46.0,6,12.56,10,50.05
87.18,55.9,3,7.97,6,46.95
78.15,43.97,6,10.41,1,64.73
81.46,43.94,2,12.33,13,41.66
95.87,91.38,9,5.76,3,80.9
99.61,49.73,2,8.88,3,52.79
68.68,73.58,8,11.25,2,71.9
86.52,86.41,9,10.19,4,82.61
70.53,67.38,6,6.01,4,53.23
60.83,49.2,1,11.88,10,45.2
90.34,51.98,2,9.94,14,41.7
72.8,65.98,6,12.61,4,63.19
75.34,71.69,2,9.81,9,54.74
83.53,60.97,5,11.52,5,66.63
93.24,86.89,9,12.9,8,79.62
85.16,85.06,3,11.3,3,67.19
94.91,95.63,9,8.93,6,81.67
70.94,41.74,4,9.71,5,45.74
91.92,93.74,4,9.59,3,75.33
67.43,63.55,8,5.4,3,61.71
98.11,92.7,5,8.08,7,71.6
87.5,81.45,9,8.38,0,81.16
68.62,99.24,4,6.04,14,49.37
97.89,85.56,4,5.33,14,52.88
89.23,61.87,2,5.04,9,39.35
70.16,70.06,8,7.85,7,58.75
68.53,62.58,6,6.94,10,47.15
80.73,61.89,6,9.44,12,52.67
61.03,55.65,8,12.39,4,60.48
68.3,69.76,8,5.31,0,64.24
76.99,80.9,4,8.48,11,56.17
74.97,56.64,3,10.34,12,44.03
78.54,71.46,2,5.67,10,52.13
71.11,47.04,3,9.9,12,37.3
83.47,49.59,6,7.95,11,54.08
94.55,42.81,9,11.12,5,65.0
64.7,98.24,9,6.98,14,65.58
80.7,40.23,9,5.99,10,54.81
65.28,50.71,3,5.86,3,48.54
88.67,76.77,3,8.96,11,50.27
75.84,44.88,9,9.5,6,68.55
82.62,92.91,5,6.75,7,66.44
67.33,83.18,2,9.41,0,61.33
65.79,97.98,2,10.74,3,70.47
79.52,70.46,1,7.0,2,61.08
74.22,58.02,3,5.08,0,49.89
97.62,72.97,2,11.65,7,58.25
90.61,95.85,8,11.75,0,95.54
89.95,71.25,1,8.02,7,50.63
96.15,56.03,3,12.51,14,48.81
63.34,92.64,4,11.61,2,74.66
82.09,62.32,5,7.54,0,59.01
83.38,40.08,4,9.79,2,59.25
98.48,54.86,1,8.23,6,48.44
71.69,59.09,1,5.93,12,35.02
69.63,91.53,7,8.3,0,78.61
64.01,67.51,5,11.75,14,50.99
60.66,66.68,4,9.18,12,45.49
97.18,60.17,4,9.87,8,59.61
86.8,92.84,2,7.88,3,64.46
91.41,96.7,1,6.41,13,55.51
71.27,99.51,8,9.56,14,66.08
83.46,62.6,9,9.41,10,64.72
62.56,97.97,7,12.65,3,76.34
79.43,87.51,3,5.07,6,53.04
99.1,80.54,9,12.19,6,83.12
95.06,54.69,9,12.41,6,67.86
73.53,52.99,7,6.92,4,58.6
98.46,49.96,5,5.37,10,45.14
69.27,95.37,2,11.79,2,66.3
97.97,57.64,9,6.35,5,65.9
97.66,67.19,6,8.18,4,67.34
91.97,69.64,5,8.63,10,58.57
85.22,86.69,4,7.6,14,51.0
94.97,90.65,6,8.41,2,71.4
71.72,48.34,8,7.49,14,50.76
93.96,65.61,7,9.2,0,69.46
84.72,90.57,7,5.32,9,63.29
60.53,89.08,4,9.73,11,49.38
73.89,46.14,4,6.22,1,50.2
65.93,49.38,3,12.81,10,51.29
99.27,58.25,8,10.16,5,73.01
79.13,44.52,4,5.06,13,32.03
79.9,65.48,6,5.31,9,50.2
85.58,46.46,9,7.16,13,49.42
74.74,74.09,4,11.11,5,59.62
65.48,54.79,9,5.74,8,49.55
92.88,75.79,6,10.3,4,75.08
67.59,47.05,1,9.41,12,37.41
80.45,98.55,8,8.49,9,73.28
68.97,95.95,1,6.42,0,61.37
63.91,63.51,2,5.26,13,32.0
94.49,54.53,7,9.1,13,52.53
98.92,55.02,7,9.12,12,59.36
98.43,69.0,5,5.12,6,60.39
96.26,42.4,6,10.14,1,66.77
90.96,78.38,8,7.89,1,77.26
73.33,64.5,7,8.85,3,67.27
63.24,62.64,1,8.67,0,54.0
76.29,88.56,2,10.58,3,69.38
69.29,82.54,7,9.05,1,72.75
65.3,97.26,7,7.96,3,71.91
62.14,61.12,5,6.57,13,38.48
89.02,93.85,3,5.24,11,53.46
60.46,86.2,3,6.81,1,58.91
90.82,61.45,5,9.97,4,63.81
65.88,77.3,5,7.07,7,52.26
63.18,57.31,4,10.43,10,50.07
63.58,92.46,2,12.5,6,63.45
86.88,46.75,1,7.05,4,46.12
69.81,52.75,7,11.19,5,63.79
76.82,50.98,7,10.25,6,60.2
82.29,64.18,1,8.2,0,56.33
94.42,84.71,9,10.65,4,82.34
89.08,71.61,6,7.24,13,53.58
70.81,69.26,3,7.4,9,52.24
65.26,40.03,9,8.2,3,53.11
62.21,65.52,5,8.39,7,46.52
72.06,43.81,5,9.42,0,59.59
70.48,52.5,1,8.07,0,49.98
78.25,95.94,3,11.84,8,68.1
87.33,52.92,6,10.06,3,70.77
87.83,91.5,8,12.31,6,80.43
71.34,88.17,8,7.93,5,76.15
75.2,49.55,2,12.88,12,47.15
67.25,76.34,4,10.69,7,59.81
91.54,46.94,3,11.15,3,60.36
62.27,83.67,1,9.62,13,42.74
87.88,78.25,4,12.03,2,73.53
91.15,88.72,3,5.78,8,58.56
91.1,68.76,3,11.24,1,67.1
70.38,94.89,3,10.22,3,68.65
74.95,42.96,4,11.73,14,43.75
83.5,57.57,6,12.03,8,61.11
70.91,82.9,2,8.72,11,53.63
74.83,65.09,8,12.7,13,55.95
67.88,50.38,6,11.51,3,59.65
78.39,46.43,4,11.95,12,43.77
61.78,89.04,4,5.1,11,53.69
91.99,68.39,1,12.58,5,58.16
63.08,92.94,7,7.04,1,67.53
80.75,84.0,4,10.04,2,66.56
72.27,64.58,7,8.65,10,49.02
83.1,62.41,6,9.89,11,57.75
98.38,70.94,2,9.65,11,51.88
85.82,93.34,4,11.17,6,73.17
61.41,84.24,4,9.41,14,52.31
77.22,40.31,8,9.48,3,56.46
80.4,81.65,9,9.73,2,78.02
81.45,95.17,5,6.75,13,57.65
87.26,82.63,8,10.47,14,65.89
71.1,50.62,9,12.86,5,68.74
65.15,69.01,5,12.41,3,65.46
75.71,48.42,2,6.88,5,48.09
98.26,61.54,6,12.82,12,60.46
67.49,96.23,1,11.64,11,60.34
96.16,95.4,4,12.73,1,89.42
81.75,56.97,7,12.8,9,72.71
78.28,60.38,4,8.73,10,44.02
95.28,76.01,1,10.01,1,63.19
78.34,97.79,4,7.13,10,59.66
88.97,48.87,7,6.67,5,59.06
75.96,55.41,6,8.59,9,51.1
96.16,92.41,2,7.0,10,58.15
87.6,69.51,8,11.82,8,72.12
87.98,93.94,4,5.47,9,56.63
73.11,51.13,5,7.31,13,45.21
90.27,71.96,8,6.42,3,70.88
85.44,59.58,1,5.79,2,50.56
69.6,58.99,4,9.08,2,57.83
66.42,66.81,6,11.84,4,61.88
91.86,65.98,7,8.49,7,65.92
98.37,61.44,7,7.12,8,55.92
78.33,94.9,8,12.06,8,78.43
83.64,83.9,5,12.37,5,75.27
94.31,83.65,8,9.05,5,73.01
78.29,57.39,3,10.27,14,44.36
98.07,74.66,1,5.49,3,56.36
83.03,86.75,2,7.73,10,52.69
92.83,87.74,7,8.12,7,74.94
96.35,60.67,6,9.04,6,62.23
92.62,86.25,5,11.79,0,91.54
66.38,84.15,9,11.48,8,73.48
85.16,48.49,8,5.08,12,51.11
75.94,91.96,9,6.24,5,73.45
62.51,66.48,7,8.02,11,49.0
76.96,69.18,2,9.1,5,52.04
70.35,66.9,5,9.86,3,59.89
93.96,74.07,9,6.16,14,60.92
61.33,77.27,6,10.57,8,56.53
98.36,69.89,2,12.13,9,62.56
74.21,92.01,7,6.79,12,59.7
74.27,77.66,3,9.32,9,57.16
60.65,64.09,8,12.92,7,65.13
67.41,65.0,6,10.15,4,59.11
76.05,88.65,8,5.75,7,66.53
97.17,60.89,7,11.19,1,75.34
63.98,52.69,7,9.06,3,58.64
97.81,43.56,4,5.9,13,37.98
94.78,92.56,4,9.12,13,63.24
78.17,95.11,5,11.04,5,71.95
73.07,47.21,5,5.94,10,39.8
69.31,60.07,2,7.85,11,38.88
84.58,50.52,4,5.66,8,49.57
61.32,46.95,6,6.21,9,46.41
60.62,93.99,2,5.42,5,55.82
77.15,43.41,8,6.81,8,51.45
62.72,98.83,6,8.63,7,67.77
70.08,45.79,5,11.33,3,60.01
68.85,91.81,3,10.49,5,64.05
70.13,73.99,1,9.7,9,46.31
65.24,62.08,9,12.89,12,56.47
60.48,60.54,8,8.71,6,61.16
64.62,85.44,2,12.32,10,58.42
84.74,58.87,2,7.69,5,50.13
98.97,79.44,2,8.41,11,51.97
99.61,71.04,8,8.18,3,72.24
76.36,69.1,5,9.77,2,67.91
66.52,94.07,9,12.46,3,83.2
85.55,73.28,7,11.14,14,59.76
79.61,89.61,2,11.67,9,60.23
99.58,83.53,3,11.34,1,74.23
62.61,42.31,9,12.62,11,55.1
91.33,86.39,5,5.91,6,66.17
71.54,53.01,8,11.52,9,53.47
69.66,94.19,9,10.38,3,82.67
86.5,42.58,9,5.26,7,46.15
69.84,59.98,4,8.19,7,50.07
86.63,45.98,3,7.55,5,52.29
80.69,68.54,6,5.83,11,52.59
76.96,89.2,7,7.48,14,58.22
82.19,57.89,5,5.9,12,42.97
71.48,49.06,6,5.03,14,42.06
88.26,59.82,8,12.1,14,56.05
76.59,88.83,1,6.25,2,59.04
74.42,48.42,4,8.9,1,55.36
93.15,53.64,6,5.44,10,49.34
97.0,44.13,6,11.5,7,56.35
61.84,82.34,8,11.05,5,73.44
69.31,63.71,9,11.56,12,62.55
73.94,58.65,1,10.72,14,46.53
92.6,83.12,3,11.8,0,77.13
99.42,60.16,7,7.38,3,59.7
98.76,83.67,6,7.18,7,71.19
96.2,88.91,2,5.34,14,53.25
71.86,53.06,6,12.77,1,65.72
99.68,98.43,2,7.45,0,75.14
69.98,49.74,3,6.82,14,35.29
64.24,57.45,4,5.55,8,45.32
98.04,50.79,1,8.44,1,58.79
69.34,60.73,4,11.47,7,52.25
87.59,68.8,1,7.56,13,41.55
62.33,71.33,2,11.24,7,55.2
89.23,91.22,3,11.19,14,60.13
95.27,93.37,3,12.49,6,77.54
70.9,53.21,4,7.05,0,55.55
75.16,77.37,5,9.68,5,65.61
74.97,46.69,6,12.44,5,53.24
89.95,67.54,9,6.88,6,69.22
69.51,59.34,6,6.08,11,46.93
66.87,58.99,2,8.04,5,48.64
77.97,68.96,7,12.28,13,60.57
72.18,83.79,2,11.0,3,69.01
93.57,44.15,7,5.3,13,45.4
69.51,92.75,2,11.19,3,65.36
80.1,84.09,6,8.61,12,60.05
97.7,50.59,7,10.33,8,65.64
85.36,96.35,3,10.68,3,72.92
94.69,70.38,3,9.42,12,59.1
97.61,99.99,3,10.57,11,66.29
90.03,51.84,9,10.08,11,60.81
87.98,72.09,7,10.45,9,68.02
98.72,57.41,4,5.83,11,47.41
99.78,58.25,5,11.06,3,66.95
78.07,75.46,2,8.93,11,44.49
62.83,95.3,7,6.51,11,64.12
71.71,88.32,7,7.49,3,71.66
66.09,83.44,9,9.96,6,71.01
76.7,73.55,9,12.71,10,69.71
65.25,95.34,9,6.5,10,66.73
84.16,69.54,6,12.16,4,73.0
75.31,92.43,3,10.17,13,55.0
95.82,90.04,3,8.98,12,62.06
98.71,52.83,6,7.96,12,45.06
81.88,86.27,6,6.23,2,64.82
70.99,40.73,5,5.97,14,36.69
83.69,59.37,2,6.05,5,48.79
95.87,53.77,2,6.83,12,43.82
76.27,70.41,9,11.82,1,77.13
82.08,84.21,9,6.96,8,65.62
70.87,45.86,4,7.85,9,46.08
78.22,70.9,1,12.46,8,52.02
76.07,96.3,3,8.84,5,66.0
69.94,53.72,4,9.74,8,45.32
80.23,80.63,7,11.63,3,77.56
