avgHours,totalHours,attendance,lateArrivals,missedCheckouts,idleWarningDays,geoOutOfRange,pendingTasks,overdueTasks,burnout
7.95,230.57,64.82,9,3,10,2,24,9,High
12.36,284.23,63.08,13,1,15,0,28,1,High
7.68,153.54,87.85,11,7,16,3,2,5,Medium
7.01,189.39,73.59,1,2,4,24,11,2,Low
9.43,188.52,88.99,1,8,11,4,12,3,Medium
12.9,283.79,62.61,5,3,10,0,12,7,High
7.69,176.97,72.61,14,5,14,14,9,2,Medium
10.7,289.03,81.58,8,9,2,4,3,9,High
11.33,283.28,91.63,0,4,0,12,8,5,Low
7.66,222.24,72.75,8,9,19,7,21,0,High
11.1,288.54,85.04,8,0,15,7,23,6,High
8.57,231.51,95.44,12,8,1,4,22,7,High
10.43,218.95,84.63,8,0,1,8,26,7,High
10.43,302.61,69.32,4,7,2,0,1,2,Medium
9.75,263.26,60.98,12,8,7,3,18,9,High
6.63,145.9,94.8,14,8,14,2,0,0,Medium
11.85,308.03,60.85,8,0,6,1,24,8,High
8.25,181.4,94.99,10,1,5,7,28,5,Medium
7.31,189.95,81.16,3,0,8,22,6,8,Low
6.29,131.99,97.56,1,9,19,8,16,6,Medium
10.14,293.95,91.95,12,1,0,1,2,0,Medium
10.74,268.57,99.92,5,9,7,13,19,0,Medium
6.12,134.55,74.03,13,7,2,13,19,5,High
9.58,210.86,90.69,3,4,3,3,20,4,Medium
7.59,212.39,76.08,5,6,14,5,29,8,High
10.52,273.42,79.2,2,1,5,10,2,1,Low
7.22,173.29,85.1,5,7,14,2,2,7,Medium
10.84,314.26,94.95,1,5,2,7,16,4,Medium
8.71,226.39,99.36,1,7,13,2,6,1,Low
12.56,351.6,90.73,12,0,19,13,26,9,High
6.96,139.25,76.71,8,0,13,12,25,5,Medium
8.39,218.07,76.85,6,6,3,12,13,9,Medium
6.79,169.86,89.5,2,7,11,1,16,7,Medium
12.47,361.71,69.55,12,2,16,12,17,3,High
12.14,339.96,64.42,10,4,6,18,12,1,High
7.81,156.11,74.18,0,0,8,5,19,4,Medium
10.62,244.26,71.49,7,6,2,15,28,1,High
11.72,328.18,71.85,13,4,12,1,19,1,High
9.89,227.39,69.34,5,7,14,7,20,5,High
9.71,281.52,61.68,6,7,17,16,26,9,High
7.69,169.25,60.71,8,8,18,22,17,8,High
6.65,186.25,99.51,4,6,0,1,3,3,Low
12.28,257.89,77.11,14,0,5,9,0,5,Medium
12.3,282.97,75.37,0,2,1,15,17,6,High
10.43,260.79,87.19,11,7,13,5,0,5,High
8.37,175.84,68.73,9,2,5,1,25,7,High
8.44,228.0,98.0,6,7,13,1,25,3,Medium
11.08,299.21,91.45,14,0,3,12,12,0,Medium
12.28,245.6,63.58,4,4,7,23,19,6,High
12.21,268.61,76.7,2,3,2,14,19,2,Medium
11.46,332.31,95.16,11,4,18,1,22,5,High
10.49,293.84,97.79,12,7,13,6,9,1,High
6.59,158.14,78.7,8,9,19,2,26,8,High
7.13,178.29,84.54,0,3,16,7,10,0,Low
12.29,282.67,66.68,0,3,7,22,8,5,Medium
10.25,297.11,99.65,0,2,13,13,8,5,Medium
6.06,127.35,69.27,2,6,5,23,4,4,Medium
6.71,181.18,97.71,11,2,15,22,25,4,Medium
10.64,266.11,85.99,5,2,18,21,0,0,Medium
6.04,144.85,84.31,9,9,13,6,16,9,High
7.13,199.52,80.51,10,4,18,20,21,4,High
9.84,196.82,69.23,2,4,2,6,1,1,Low
10.84,260.24,67.06,7,5,9,0,23,6,High
10.56,264.09,68.82,13,7,18,16,12,2,High
7.57,181.68,67.46,13,9,8,8,8,3,Medium
10.99,274.63,91.18,9,5,19,20,28,2,High
7.66,191.52,74.01,1,0,12,12,3,2,Low
8.28,215.22,62.31,13,7,6,20,4,3,Medium
11.23,258.19,98.76,8,7,13,18,10,4,High
10.55,284.78,95.35,2,8,8,20,23,0,Medium
11.94,310.56,97.11,4,8,18,18,18,3,High
10.6,296.89,99.8,9,1,14,24,20,7,High
9.98,259.43,66.96,7,1,19,24,2,9,High
6.66,146.43,75.85,1,2,13,21,11,6,Medium
8.57,188.63,90.33,5,0,5,16,25,8,Medium
7.86,212.12,87.84,11,3,3,22,18,4,Medium
7.71,184.99,66.16,4,3,7,22,18,9,Medium
12.81,294.65,92.63,12,8,16,9,12,3,High
8.75,236.3,68.98,9,8,8,9,27,7,High
12.24,306.11,68.95,8,8,0,3,6,8,High
10.42,218.78,81.48,11,9,19,7,14,6,High
11.56,265.96,83.72,4,6,13,21,22,6,High
9.52,218.92,83.2,1,1,10,19,6,4,Low
10.04,250.96,63.66,4,9,2,19,25,3,High
9.45,236.19,95.1,14,4,8,17,7,9,Medium
7.37,147.33,70.62,11,3,13,13,4,0,Medium
11.06,298.54,65.18,3,7,8,17,20,9,High
7.97,199.14,95.55,14,1,3,13,13,9,Medium
6.17,135.74,98.23,10,5,3,19,3,6,Medium
10.52,294.51,94.49,6,4,7,20,22,0,Medium
7.24,152.04,92.38,5,1,1,23,9,0,Low
12.58,339.75,86.21,13,9,8,14,19,4,High
12.68,367.65,82.03,1,0,13,21,14,8,High
12.4,272.89,63.48,11,7,8,3,17,5,High
8.59,206.19,76.34,10,1,15,12,19,2,Medium
6.11,152.7,74.91,10,6,16,22,12,2,High
12.5,362.45,70.39,12,8,15,7,28,6,High
9.0,224.93,88.94,4,8,11,17,7,5,Low
12.77,293.63,79.84,6,7,2,11,8,8,High
12.75,280.4,63.24,10,9,10,22,15,5,High
11.97,275.33,68.81,6,8,13,13,18,4,High
8.06,161.22,87.33,14,1,17,1,15,9,Medium
8.7,200.0,63.05,4,5,4,17,6,6,Medium
11.96,239.16,94.05,11,3,15,23,13,0,Medium
8.22,164.37,79.81,14,3,19,1,27,6,High
7.19,208.41,79.22,8,4,4,10,13,2,Low
9.9,247.44,83.7,3,2,2,8,24,8,Medium
12.55,301.27,92.99,10,0,11,11,26,5,High
10.87,250.06,73.91,2,7,0,16,3,8,High
9.99,219.79,87.12,14,4,8,14,25,4,Medium
6.68,133.6,82.63,3,2,8,24,14,6,Medium
10.31,257.63,70.68,4,9,3,16,2,3,Medium
12.93,271.54,95.15,12,6,2,17,4,6,High
6.98,188.48,91.9,5,6,16,21,0,0,Low
9.63,279.22,86.34,2,0,1,5,2,6,Low
12.14,291.4,94.02,1,8,0,16,14,7,Medium
11.19,290.82,94.69,13,1,7,22,23,4,High
10.88,315.49,88.33,12,4,12,23,26,1,Medium
10.92,229.27,93.48,3,4,14,17,7,4,Medium
8.52,229.94,87.9,4,7,7,7,28,5,Medium
8.06,169.16,87.21,3,7,11,8,3,1,Low
11.67,268.31,84.74,13,6,11,5,1,5,High
11.67,233.42,90.11,10,6,13,4,28,5,High
12.07,289.67,66.34,12,5,14,11,23,0,High
12.39,347.0,95.23,14,5,14,24,23,0,High
9.58,191.59,94.87,11,8,8,10,9,9,High
9.51,266.3,61.17,2,5,18,24,3,2,Medium
11.59,312.88,93.03,7,1,19,0,2,9,Medium
10.55,263.74,65.15,9,1,7,10,1,9,High
10.91,283.76,73.4,3,4,18,18,24,2,High
11.57,254.55,89.74,13,3,5,8,16,3,High
12.23,244.6,66.43,1,1,19,1,22,1,High
8.37,200.78,92.72,1,2,18,11,20,8,Medium
8.63,181.21,93.29,0,6,3,3,23,9,Medium
6.66,159.79,80.3,12,7,6,3,19,6,High
10.05,271.29,60.26,3,5,3,17,22,6,High
6.25,175.04,71.48,9,4,11,14,12,5,Medium
9.26,194.44,84.68,8,0,12,18,4,2,Low
9.8,215.57,99.25,13,7,2,12,29,5,High
8.01,176.13,85.27,10,2,11,18,20,7,Medium
10.14,202.72,70.39,6,5,1,16,29,7,High
6.21,167.76,85.36,14,2,1,5,8,8,Medium
6.26,156.54,81.6,11,6,8,15,24,0,Medium
11.76,317.47,91.19,9,6,0,23,28,0,High
8.52,238.6,64.28,6,8,7,11,24,2,Medium
6.89,165.35,90.44,12,4,5,18,27,2,Medium
9.66,212.43,81.65,14,7,5,4,21,9,High
11.39,273.36,98.52,6,9,17,16,5,7,High
7.51,180.26,73.67,14,9,16,22,4,9,High
10.36,248.65,85.3,7,7,11,0,24,0,Medium
6.6,145.14,97.28,0,0,5,24,9,1,Low
6.36,184.49,64.1,9,4,7,23,7,1,Medium
9.72,223.55,97.49,12,2,18,22,6,2,Medium
9.78,273.96,87.52,9,0,9,9,6,5,Medium
10.46,303.4,62.71,7,3,0,14,5,0,Medium
11.08,310.31,72.04,3,7,12,22,20,1,High
12.83,269.45,88.33,3,2,16,20,28,0,Medium
9.61,259.58,62.69,3,9,2,20,19,4,High
8.26,223.04,83.29,5,1,7,10,2,6,Medium
11.57,300.72,73.84,6,8,13,12,18,7,High
7.9,213.19,84.84,5,9,2,4,21,9,High
9.07,199.6,61.83,0,4,15,0,14,0,Medium
6.55,163.73,94.86,11,6,12,23,3,6,Medium
6.18,123.55,98.94,7,1,19,11,27,4,Medium
12.74,331.2,98.76,12,8,16,10,11,9,High
11.85,237.04,89.99,9,8,12,16,5,0,Medium
10.87,304.41,65.2,14,3,5,3,18,2,High
8.86,177.25,90.33,10,3,16,14,3,6,Medium
7.21,144.26,60.98,12,5,13,24,14,9,High
7.1,184.47,60.88,6,9,16,8,8,0,Medium
7.75,162.79,72.94,5,9,7,20,4,6,Medium
9.84,236.27,79.55,5,9,10,19,12,4,Medium
11.0,297.06,90.82,4,5,19,18,22,0,Medium
10.62,286.78,87.33,5,0,0,18,25,0,Medium
7.96,175.11,77.84,11,8,6,11,17,0,Medium
12.68,329.79,70.95,8,1,16,4,29,8,High
11.17,245.64,99.88,9,4,9,9,29,2,Medium
9.88,247.01,77.05,8,8,10,16,4,4,Medium
10.28,257.05,78.06,14,3,8,4,24,9,High
8.94,196.62,66.54,9,2,8,21,15,8,High
7.73,201.09,91.79,7,6,4,15,26,5,Medium
8.49,186.82,87.75,9,5,16,6,18,8,High
11.3,305.23,68.83,8,7,8,8,13,7,High
6.1,176.92,63.3,12,2,16,2,24,7,High
6.81,156.69,87.22,9,4,18,14,29,0,Medium
6.32,126.44,86.18,7,9,6,15,15,8,Medium
6.29,144.56,70.93,7,3,8,17,26,5,Medium
11.99,311.69,98.03,0,3,6,13,14,8,Medium
10.93,251.29,66.04,9,3,12,2,21,2,High
9.32,232.98,77.29,10,9,10,11,3,2,Medium
6.68,187.18,97.74,4,7,13,8,6,5,Low
9.44,188.83,76.79,3,5,18,6,15,8,Medium
9.31,223.54,85.54,1,2,10,8,23,6,Medium
7.21,187.52,75.9,7,9,12,12,21,2,Medium
9.04,180.74,70.97,2,4,13,17,20,2,Medium
8.79,202.16,99.36,3,5,12,4,21,1,Low
10.31,257.77,76.37,11,4,0,12,20,8,High
10.45,219.36,95.76,6,5,7,3,7,2,Low
6.32,183.2,69.2,9,7,11,1,16,4,High
8.62,206.93,68.52,8,6,18,15,15,8,High
10.38,301.05,61.25,1,4,11,8,26,7,High
9.52,190.44,86.07,2,9,7,8,22,1,Medium
12.0,299.89,74.74,3,5,7,5,9,2,Medium
10.61,265.27,94.57,9,3,12,10,9,1,Medium
7.14,164.23,78.93,0,8,11,21,26,7,Medium
6.49,175.34,98.73,6,3,15,23,1,5,Low
10.5,241.43,67.42,1,0,0,21,29,5,High
6.19,167.01,94.74,4,6,12,0,8,8,Low
10.1,272.71,91.06,14,6,6,3,16,7,High
12.58,301.96,90.84,0,3,4,12,10,3,Medium
10.03,230.65,93.79,2,2,7,22,9,3,Medium
8.72,183.06,90.44,11,7,13,12,21,8,High
10.5,231.07,85.05,1,4,12,12,24,0,Medium
9.21,202.57,65.25,0,9,14,1,16,1,High
9.82,225.84,61.3,6,6,16,8,3,1,Medium
12.59,289.58,96.83,4,3,14,23,15,5,Medium
8.7,252.38,84.67,0,3,19,7,19,3,Medium
12.73,305.48,91.86,5,7,17,6,14,9,High
12.34,283.76,79.26,4,7,17,3,24,2,High
7.37,213.75,64.69,14,1,1,17,26,2,Medium
6.49,175.11,65.01,2,1,3,2,20,2,Medium
6.71,167.64,87.42,11,2,0,5,4,5,Low
6.13,153.19,77.21,6,2,3,11,5,7,Medium
6.66,179.85,68.02,10,0,17,11,16,6,High
10.78,280.31,79.66,9,2,4,20,0,3,Medium
6.5,188.45,62.57,8,5,18,7,24,3,High
8.23,238.75,83.28,13,7,14,21,18,9,High
11.91,321.68,70.76,12,9,7,21,3,1,High
6.16,129.42,91.9,12,5,19,0,16,0,Medium
11.7,327.64,72.41,8,4,16,3,8,8,High
7.97,159.46,78.21,13,3,0,20,23,1,Medium
6.83,184.33,60.46,8,2,11,10,1,7,Medium
10.88,250.17,62.9,1,3,18,2,7,8,High
10.4,239.26,75.7,2,6,14,12,14,3,High
12.14,291.42,79.2,6,0,8,24,6,7,Medium
11.15,300.93,84.0,4,6,6,16,26,8,High
11.62,278.98,71.67,1,0,1,21,5,9,Medium
7.97,215.3,87.8,2,1,8,21,0,9,Low
7.24,210.02,94.4,9,3,9,9,14,4,Medium
11.25,225.09,91.19,5,0,1,20,22,6,High
11.65,337.79,61.58,12,8,18,11,25,9,High
12.93,362.14,79.22,6,5,10,14,6,3,Medium
8.89,222.21,64.2,8,0,12,20,28,0,Medium
8.6,189.29,69.68,0,0,9,9,29,2,Medium
11.43,308.74,99.47,10,5,13,13,24,4,High
8.39,234.8,65.7,6,3,17,12,16,2,Medium
12.52,312.88,79.96,7,3,18,4,1,6,High
12.01,312.23,84.73,11,5,8,5,26,8,High
9.0,180.06,88.1,13,6,6,23,8,5,Medium
11.26,270.15,82.39,2,8,2,1,28,9,High
11.28,270.76,60.39,3,9,19,21,8,0,Medium
6.72,194.93,73.06,9,4,5,16,12,6,High
12.32,283.31,80.71,5,8,1,3,5,2,Medium
9.54,238.42,63.51,9,3,5,13,5,4,Medium
11.79,306.42,74.03,6,9,2,9,19,9,High
8.24,230.73,61.33,12,1,15,2,19,3,High
12.27,245.37,63.14,13,2,7,24,20,9,High
8.72,218.11,75.88,3,0,1,2,2,4,Low
6.08,157.97,65.31,7,5,16,14,16,4,High
12.34,271.43,82.7,4,5,8,5,16,5,Medium
6.64,179.25,87.58,0,0,11,16,11,9,Low
8.24,197.64,92.02,3,2,2,11,15,9,Low
12.65,354.21,68.01,2,4,10,21,14,5,Medium
12.65,303.7,66.7,8,2,0,19,12,7,High
10.01,280.39,64.18,7,9,12,23,22,7,High
10.42,302.26,85.46,0,2,14,10,0,8,Medium
9.14,210.2,88.26,10,9,4,24,16,7,High
8.05,225.47,61.26,5,2,16,3,2,1,Medium
8.3,199.22,97.45,8,4,5,5,25,9,Medium
10.71,310.52,62.08,6,4,10,0,14,0,Medium
11.27,315.47,81.65,3,3,17,19,3,9,Medium
11.54,253.9,88.36,12,0,3,22,3,1,Medium
11.53,265.13,94.84,0,4,2,15,17,1,Medium
6.64,185.88,88.56,11,9,12,14,16,2,Medium
9.46,274.37,92.07,1,4,8,16,18,9,Medium
6.4,160.07,73.58,11,3,5,7,10,6,High
9.85,206.78,92.59,4,5,11,11,19,1,Low
9.09,236.36,63.2,11,9,1,21,2,0,Medium
12.21,256.49,95.79,10,3,2,20,7,5,Medium
8.46,177.58,81.9,4,6,2,9,13,8,Medium
6.82,136.39,92.69,7,6,11,14,25,2,Medium
7.0,154.02,78.09,5,1,14,8,0,5,Medium
11.33,283.26,85.74,7,2,8,1,13,2,Medium
10.33,278.84,81.06,1,0,7,4,1,0,Low
6.71,187.82,89.26,2,7,10,5,28,4,Medium
6.59,171.31,63.27,5,8,15,6,22,9,High
10.91,250.86,62.41,11,3,3,20,3,3,High
6.51,162.73,69.88,12,5,0,24,23,6,High
11.75,282.07,66.38,9,8,6,0,26,5,High
10.94,295.48,94.87,2,5,1,22,28,9,Medium
6.57,131.39,68.77,5,8,4,6,18,6,High
6.59,131.88,99.03,5,3,6,19,5,4,Low
12.91,322.66,73.48,1,7,3,24,24,3,High
8.62,249.98,67.28,6,8,4,11,0,6,Medium
8.59,180.48,91.59,11,3,0,15,16,6,Medium
11.69,280.55,86.35,1,4,0,15,7,5,Low
12.63,252.61,79.93,5,7,14,10,18,7,High
12.9,335.45,82.21,0,9,19,20,20,3,High
11.27,225.47,88.77,2,5,18,3,0,9,Medium
8.63,198.58,69.14,1,6,9,12,4,4,Medium
6.58,184.37,99.85,6,2,17,6,26,3,Medium
11.44,228.8,98.99,13,6,2,3,15,0,Medium
9.91,227.9,86.01,3,7,10,14,5,7,Medium
8.97,224.24,67.98,7,9,14,18,7,0,Medium
12.34,308.61,87.21,5,5,10,8,12,4,Medium
6.78,183.02,62.89,11,9,16,10,15,5,High
9.45,188.97,61.23,9,8,16,7,29,5,High
6.08,158.07,70.31,3,5,5,0,2,4,Low
9.28,185.61,78.5,4,8,4,22,18,2,Medium
6.39,166.25,94.73,12,3,7,24,11,4,Medium
6.83,150.3,89.09,12,7,1,23,15,7,Medium
6.82,184.21,89.71,14,3,15,7,26,1,Medium
10.54,231.98,77.02,14,1,19,12,10,5,High
11.22,224.45,73.84,8,9,11,21,9,8,High
10.08,272.26,74.84,6,8,5,3,24,7,High
12.74,280.17,99.51,9,4,0,7,19,7,High
8.62,181.11,61.6,13,3,3,2,3,7,Medium
8.0,160.0,94.68,13,1,16,8,11,6,Medium
12.08,265.76,83.15,8,0,12,1,22,7,High
7.57,158.87,77.54,6,6,17,1,1,5,Medium
12.74,267.59,89.01,11,5,4,12,23,1,Medium
6.09,152.13,79.47,0,1,2,14,21,1,Low
12.79,255.78,94.94,11,7,10,22,18,7,High
6.3,132.34,96.03,7,3,12,11,24,0,Low
12.24,305.95,76.87,3,7,3,3,4,5,Medium
9.69,213.27,71.07,2,6,13,7,7,5,Medium
12.95,297.87,83.69,13,4,10,8,6,3,Medium
6.52,130.33,96.49,12,9,9,22,13,9,Medium
9.88,266.68,68.43,6,9,18,4,23,2,High
12.79,332.41,84.92,11,7,17,23,22,2,High
9.66,251.2,85.26,2,8,5,19,2,0,Low
10.41,228.93,89.32,7,4,14,17,17,2,Medium
10.87,315.24,65.26,5,9,9,10,15,3,High
9.18,266.27,88.63,4,4,4,14,22,4,Medium
10.39,228.64,96.36,3,1,4,21,18,2,Medium
10.09,211.89,67.19,7,4,9,8,18,5,High
12.31,246.16,69.5,7,2,4,16,17,4,High
6.32,164.27,98.86,11,6,2,11,19,2,Medium
7.97,207.14,67.24,0,9,5,6,15,5,Medium
12.65,265.71,94.18,8,4,3,9,7,5,Medium
12.23,318.03,79.69,13,7,17,24,27,7,High
9.19,248.12,69.89,4,0,8,24,0,1,Low
10.34,206.82,94.83,3,2,16,9,16,0,Medium
7.94,222.37,77.81,5,2,12,12,11,3,Medium
7.32,190.24,80.59,5,8,14,18,29,6,High
9.25,203.41,74.37,1,4,19,10,20,9,High
8.47,228.78,83.72,7,8,16,12,10,2,Medium
10.09,262.23,66.54,6,8,12,20,4,2,Medium
6.54,176.69,75.64,0,0,15,7,26,4,Medium
12.82,320.52,98.78,4,1,3,7,11,4,Medium
12.9,361.3,70.33,11,4,4,3,16,9,High
